ticket_id,event_timestamp,customer_id,category,status,priority,resolution_hours,description
T000186,2025-10-09T07:13:03,C00244,averia_router,resuelto,baja,28.5,  Router no enciende.  
T000379,2025-10-08T18:06:33,C00036,consulta_tarifa,CERRADO,baja,12.8,Consulta sobre tarifas.
T000063,2025-10-13T10:53:57,C00153,averia_router,resuelto,media,15.8,  Router no enciende.  
T000058,2025-10-12T14:01:15,C00194,sin_servicio,abierto,baja,,Sin conexión desde hace horas.
T000321,2025-10-31T13:58:49,C00427,intermitencias,escalado,baja,11.1,Cortes intermitentes frecuentes.
T000408,2025-10-09T05:14:05,C00956,facturacion,en_proceso,alta,,Cargo no reconocido en factura.
T000415,2025-10-11T21:00:49,C00091,instalacion,en_proceso,media,,  Instalación pendiente.  
T000377,2025-10-21T22:04:47,C00018,instalacion,escalado,baja,69.6,Instalación pendiente.
T000347,2025-10-09T07:42:45,C00106,consulta_tarifa,abierto,baja,,Consulta sobre tarifas.
T000302,2025-10-21T17:16:24,C00274,facturacion,escalado,critica,58.5,Cargo no reconocido en factura.
T000392,2025-10-09T06:42:17,C00257,Sin Servicio,abierto,media,,Sin conexión desde hace horas.
T000099,2025-10-15T08:07:09,C00200,portabilidad,en_proceso,baja,,Solicita portabilidad.
T000171,2025-10-29T22:00:32,C00221,portabilidad,abierto,baja,,Solicita portabilidad.
T000304,2025-10-07T10:37:41,C00268,consulta_tarifa,abierto,media,,  Consulta sobre tarifas.  
T000286,2025-10-30T14:31:37,C00054,intermitencias,cerrado,media,8.5,Cortes intermitentes frecuentes.
T000399,2025-10-31T21:42:35,C00463,sin_servicio,en_proceso,baja,,Sin conexión desde hace horas.
T000241,2025-10-14T22:46:26,C00007,INTERMITENCIAS,abierto,media,,
T000052,2025-10-05T18:01:44,C00045,facturacion,abierto,baja,,Cargo no reconocido en factura.
T000306,2025-10-13T04:54:31,C00281,consulta_tarifa,resuelto,media,74.6,Consulta sobre tarifas.
T000160,2025-10-21T09:27:47,C00106,portabilidad,EN_PROCESO,baja,,Solicita portabilidad.
T000294,2025-10-03T18:19:01,C00036,sin_servicio,en_proceso,media,,  Sin conexión desde hace horas.  
T000342,2025-10-09T05:27:25,C00908,consulta_tarifa,resuelto,media,82.5,Consulta sobre tarifas.
T000220,2025-10-06T03:45:15,C00028,Averia_router,ABIERTO,media,,Router no enciende.
T000296,2025-10-01T01:42:27,C00191,instalacion,cerrado,baja,26.7,Instalación pendiente.
T000014,2025-10-23T17:59:48,C00074,Portabilidad,CERRADO,media,19.9,  Solicita portabilidad.  
T000008,2025-10-09T11:18:14,C00366,consulta_tarifa,en_proceso,baja,,Consulta sobre tarifas.
T000260,2025-10-09T19:01:59,C00951,sin_servicio,cerrado,media,39.9,Sin conexión desde hace horas.
T000164,2025-10-12T03:20:32,C00251,instalacion,abierto,media,,Instalación pendiente.
T000105,2025-10-23T20:07:23,C00124,facturacion,resuelto,media,43.4,Cargo no reconocido en factura.
T000257,2025-10-15T11:23:52,C00367,portabilidad,cerrado,baja,0.6,Solicita portabilidad.
T000056,2025-10-30T12:56:53,C00444,sin_servicio,EN_PROCESO,baja,,Sin conexión desde hace horas.
T000101,2025-10-15T03:43:54,C00348,sin_servicio,en_proceso,baja,,Sin conexión desde hace horas.
T000385,2025-10-02T20:40:56,C00105,facturacion,cerrado,baja,62.7,Cargo no reconocido en factura.
T000333,2025-10-25T22:59:55,C00313,instalacion,resuelto,critica,42.2,  Instalación pendiente.  
T000375,2025-10-25T00:46:01,C00025,Sin Servicio,cerrado,baja,92.6,Sin conexión desde hace horas.
T000180,2025-10-19T12:36:13,C00017,facturacion,abierto,baja,,Cargo no reconocido en factura.
T000019,2025-10-21T06:25:32,C00010,portabilidad,abierto,baja,,
T000315,2025-10-27T00:40:59,C00247,sin_servicio,cerrado,baja,33.3,Sin conexión desde hace horas.
T000177,2025-10-02T18:08:25,C00073,sin_servicio,cerrado,alta,-12.8,
T000050,2025-10-19T09:21:06,C00456,intermitencias,en_proceso,media,,Cortes intermitentes frecuentes.
T000046,2025-10-08T23:06:09,C00245,portabilidad,en_proceso,media,,Solicita portabilidad.
T000319,2025-10-31T22:22:45,C00036,Instalacion,en_proceso,baja,,Instalación pendiente.
T000351,2025-10-15T19:08:48,C00038,PORTABILIDAD,en_proceso,baja,,  Solicita portabilidad.  
T000284,2025-10-21T12:37:06,C00087,consulta_tarifa,cerrado,media,25.6,Consulta sobre tarifas.
T000311,2025-10-24T07:53:37,C00421,Facturacion,resuelto,baja,78.3,  Cargo no reconocido en factura.  
T000230,2025-10-20T13:17:09,C00302,facturacion,resuelto,baja,46.2,Cargo no reconocido en factura.
T000170,2025-10-03T10:06:43,C00239,facturacion,resuelto,critica,57.3,Cargo no reconocido en factura.
T000085,2025-10-25T22:20:50,C00216,velocidad_baja,escalado,baja,10.9,Velocidad inferior a la contratada.
T000068,2025-10-22T09:09:36,C00346,averia_router,cerrado,critica,14.2,Router no enciende.
T000344,2025-10-22T13:52:11,C00412,consulta_tarifa,abierto,alta,,Consulta sobre tarifas.
T000236,2025-10-29T12:07:41,C00346,intermitencias,resuelto,media,91.8,Cortes intermitentes frecuentes.
T000037,2025-10-31T23:30:24,C00374,consulta_tarifa,escalado,critica,38.3,Consulta sobre tarifas.
T000182,2025-10-28T17:51:38,C00049,portabilidad,en_proceso,baja,,  Solicita portabilidad.  
T000153,2025-10-13T05:33:02,C00492,Intermitencias,ABIERTO,baja,,Cortes intermitentes frecuentes.
T000002,2025-10-16T05:35:26,C00157,instalacion,resuelto,alta,14.1,Instalación pendiente.
T000298,2025-10-18T21:20:46,C00361,Averia_router,abierto,baja,,Router no enciende.
T000152,2025-10-03T07:49:52,C00100,facturacion,ABIERTO,media,,Cargo no reconocido en factura.
T000400,2025-10-10T19:59:56,C00497,sin_servicio,cerrado,critica,4.0,  Sin conexión desde hace horas.  
T000196,2025-10-12T12:57:20,C00112,facturacion,escalado,alta,58.5,Cargo no reconocido en factura.
T000249,2025-10-05T21:50:25,C00042,intermitencias,cerrado,media,1.7,Cortes intermitentes frecuentes.
T000373,2025-10-02T09:29:00,C00384,Facturacion,resuelto,alta,56.1,Cargo no reconocido en factura.
T000369,2025-10-11T18:27:35,C00194,consulta_tarifa,escalado,baja,43.5,  Consulta sobre tarifas.  
T000380,2025-10-07T19:16:17,C00456,FACTURACION,resuelto,media,90.1,Cargo no reconocido en factura.
T000077,2025-10-17T11:48:19,C00032,velocidad_baja,resuelto,baja,48.0,Velocidad inferior a la contratada.
T000264,2025-10-03T23:25:35,C00137,sin_servicio,escalado,media,52.8,Sin conexión desde hace horas.
T000224,2025-10-03T15:08:03,C00461,instalacion,en_proceso,alta,,Instalación pendiente.
T000088,2025-10-17T13:07:26,C00335,portabilidad,escalado,media,93.5,Solicita portabilidad.
T000244,2025-10-30T01:40:09,C00284,Sin Servicio,resuelto,alta,91.8,Sin conexión desde hace horas.
T000338,2025-10-22T13:12:54,C00151,instalacion,resuelto,critica,36.7,Instalación pendiente.
T000310,2025-10-30T02:38:55,C00321,Instalacion,cerrado,media,24.5,Instalación pendiente.
T000096,2025-10-30T06:42:34,C00198,VELOCIDAD_BAJA,cerrado,media,84.8,Velocidad inferior a la contratada.
T000283,2025-10-27T14:56:26,C00118,Intermitencias,abierto,alta,,  Cortes intermitentes frecuentes.  
T000036,2025-10-29T14:31:32,C00491,velocidad_baja,ABIERTO,media,,Velocidad inferior a la contratada.
T000245,2025-10-23T00:05:15,C00373,instalacion,cerrado,media,54.7,Instalación pendiente.
T000076,2025-10-04T09:19:49,C00115,Averia Router,escalado,alta,24.8,Router no enciende.
T000041,2025-10-08T05:45:52,C00497,intermitencias,cerrado,baja,35.5,Cortes intermitentes frecuentes.
T000410,2025-10-05T10:48:27,C00269,Averia Router,cerrado,media,5.6,Router no enciende.
T000092,2025-10-21T14:56:22,C00192,consulta_tarifa,abierto,alta,,Consulta sobre tarifas.
T000104,2025-10-10T01:31:52,C00270,Portabilidad,resuelto,baja,52.0,Solicita portabilidad.
T000155,2025-10-06T18:25:00,C00365,averia_router,cerrado,media,70.3,Router no enciende.
T000026,2025-10-23T15:23:01,C00138,facturacion,escalado,media,33.5,Cargo no reconocido en factura.
T000281,2025-10-09T06:59:27,C00312,instalacion,EN_PROCESO,media,,Instalación pendiente.
T000128,2025-10-23T22:59:36,C00275,INTERMITENCIAS,resuelto,baja,93.9,Cortes intermitentes frecuentes.
T000365,2025-10-31T18:11:12,C00260,facturacion,resuelto,media,82.8,Cargo no reconocido en factura.
T000044,2025-10-11T05:06:57,C00114,instalacion,en_proceso,baja,,Instalación pendiente.
T000106,2025-10-05T09:17:54,C00179,instalacion,CERRADO,alta,28.0,Instalación pendiente.
T000386,2025-10-26T11:28:15,C00110,FACTURACION,resuelto,alta,51.2,  Cargo no reconocido en factura.  
T000409,2025-10-30T19:50:33,C00109,instalacion,ABIERTO,baja,,Instalación pendiente.
T000079,2025-10-18T17:06:50,C00110,facturacion,abierto,media,,Cargo no reconocido en factura.
T000100,2025-10-04T00:37:50,C00423,portabilidad,abierto,baja,,Solicita portabilidad.
T000227,2025-10-27T00:30:34,C00352,sin_servicio,resuelto,baja,11.1,Sin conexión desde hace horas.
T000391,2025-10-09T05:31:55,C00480,Consulta Tarifa,en_proceso,baja,,Consulta sobre tarifas.
T000285,2025-10-21T09:30:23,C00264,Intermitencias,resuelto,baja,51.4,Cortes intermitentes frecuentes.
T000308,2025-10-29T12:03:38,C00319,facturacion,en_proceso,baja,,  Cargo no reconocido en factura.  
T000016,2025-10-30T14:11:12,C00463,facturacion,escalado,critica,0.9,  Cargo no reconocido en factura.  
T000233,2025-10-05T13:31:50,C00061,consulta_tarifa,en_proceso,media,,Consulta sobre tarifas.
T000047,2025-10-15T03:30:25,C00115,FACTURACION,escalado,media,46.4,Cargo no reconocido en factura.
T000025,2025-10-31T01:24:46,C00356,portabilidad,abierto,alta,,Solicita portabilidad.
T000147,2025-10-08T00:43:15,C00923,sin_servicio,resuelto,alta,39.1,Sin conexión desde hace horas.
T000174,2025-10-11T10:54:25,C00419,Instalacion,resuelto,media,53.0,Instalación pendiente.
T000086,2025-10-15T13:40:08,C00100,facturacion,EN_PROCESO,alta,,Cargo no reconocido en factura.
T000191,2025-10-01T08:10:20,C00185,averia_router,cerrado,media,72.6,Router no enciende.
T000305,2025-10-02T02:07:53,C00213,sin_servicio,abierto,baja,,Sin conexión desde hace horas.
T000250,2025-10-14T17:41:37,C00278,sin_servicio,escalado,baja,34.4,  Sin conexión desde hace horas.  
T000299,2025-10-27T05:04:25,C00094,velocidad_baja,ABIERTO,media,,Velocidad inferior a la contratada.
T000229,2025-10-31T00:12:16,C00480,Sin_servicio,resuelto,media,70.1,  Sin conexión desde hace horas.  
T000124,2025-10-27T07:31:01,C00456,velocidad_baja,abierto,media,,Velocidad inferior a la contratada.
T000173,2025-10-13T17:38:01,C00149,instalacion,en_proceso,baja,,Instalación pendiente.
T000172,2025-10-29T22:19:25,C00175,portabilidad,resuelto,baja,6.6,Solicita portabilidad.
T000033,2025-10-26T17:47:03,C00345,averia_router,en_proceso,baja,,Router no enciende.
T000397,2025-10-20T17:16:11,C00470,sin_servicio,en_proceso,baja,,Sin conexión desde hace horas.
T000006,2025-10-10T16:01:07,C00175,intermitencias,escalado,alta,94.2,Cortes intermitentes frecuentes.
T000268,2025-10-21T22:55:46,C00475,Facturacion,resuelto,media,38.1,Cargo no reconocido en factura.
T000034,2025-10-11T04:23:13,C00328,intermitencias,en_proceso,baja,,Cortes intermitentes frecuentes.
T000102,2025-10-20T22:08:21,C00007,consulta_tarifa,escalado,media,23.5,Consulta sobre tarifas.
T000181,2025-10-30T22:55:13,C00248,averia_router,abierto,baja,,Router no enciende.
T000312,2025-10-25T09:23:57,C00393,SIN_SERVICIO,ABIERTO,critica,,
T000388,2025-10-30T02:57:42,C00131,Instalacion,abierto,alta,,Instalación pendiente.
T000051,2025-10-08T18:43:23,C00207,Intermitencias,EN_PROCESO,baja,,Cortes intermitentes frecuentes.
T000091,2025-10-09T01:46:11,C00011,averia_router,resuelto,critica,20.5,Router no enciende.
T000381,2025-10-01T05:44:25,C00299,intermitencias,en_proceso,media,,Cortes intermitentes frecuentes.
T000159,2025-10-22T18:28:37,C00144,portabilidad,escalado,baja,75.2,Solicita portabilidad.
T000402,2025-10-28T23:19:31,C00348,instalacion,escalado,baja,86.9,  Instalación pendiente.  
T000151,2025-10-16T17:12:56,C00001,intermitencias,cerrado,media,8.0,Cortes intermitentes frecuentes.
T000157,2025-10-26T10:50:29,C00398,velocidad_baja,EN_PROCESO,alta,,  Velocidad inferior a la contratada.  
T000111,2025-10-05T02:22:14,C00103,Instalacion,ESCALADO,baja,7.5,  Instalación pendiente.  
T000175,2025-10-07T19:26:04,C00080,facturacion,abierto,baja,,Cargo no reconocido en factura.
T000278,2025-10-01T21:44:29,C00268,instalacion,cerrado,baja,33.4,Instalación pendiente.
T000403,2025-10-04T16:20:05,C00350,instalacion,resuelto,baja,52.0,Instalación pendiente.
T000108,2025-10-30T11:28:07,C00976,Sin_servicio,abierto,media,,Sin conexión desde hace horas.
T000061,2025-10-16T23:51:53,C00273,averia_router,abierto,baja,,Router no enciende.
T000345,2025-10-03T16:49:54,C00064,velocidad_baja,resuelto,alta,81.2,Velocidad inferior a la contratada.
T000125,2025-10-06T19:50:07,C00309,velocidad_baja,escalado,media,25.3,Velocidad inferior a la contratada.
T000129,2025-10-30T00:14:47,C00071,intermitencias,abierto,media,,Cortes intermitentes frecuentes.
T000320,2025-10-04T10:40:35,C00124,portabilidad,cerrado,media,93.0,Solicita portabilidad.
T000401,2025-10-17T14:24:01,C00212,intermitencias,en_proceso,baja,,
T000090,2025-10-19T02:42:58,C00478,portabilidad,abierto,alta,,  Solicita portabilidad.  
T000387,2025-10-28T16:40:02,C00232,instalacion,resuelto,baja,25.7,Instalación pendiente.
T000414,2025-10-24T11:29:34,C00380,averia_router,en_proceso,media,,Router no enciende.
T000273,2025-10-28T10:50:00,C00253,velocidad_baja,resuelto,media,91.0,Velocidad inferior a la contratada.
T000277,2025-10-11T14:09:17,C00442,portabilidad,en_proceso,baja,,Solicita portabilidad.
T000352,2025-10-31T01:57:24,C00127,Averia_router,en_proceso,alta,,Router no enciende.
T000290,2025-10-27T04:39:01,C00120,consulta_tarifa,escalado,media,48.7,Consulta sobre tarifas.
T000203,2025-10-01T11:11:52,C00294,consulta_tarifa,abierto,media,,Consulta sobre tarifas.
T000382,2025-10-06T16:55:26,C00408,Instalacion,escalado,media,32.3,Instalación pendiente.
T000240,2025-10-10T09:17:06,C00493,velocidad_baja,CERRADO,media,68.8,  Velocidad inferior a la contratada.  
T000343,2025-10-29T03:33:26,C00297,Sin Servicio,en_proceso,baja,,Sin conexión desde hace horas.
T000206,2025-10-31T22:40:15,C00083,sin_servicio,resuelto,alta,38.9,  Sin conexión desde hace horas.  
T000350,2025-10-08T05:10:48,C00328,consulta_tarifa,escalado,media,22.8,Consulta sobre tarifas.
T000148,2025-10-15T18:29:44,C00399,intermitencias,en_proceso,critica,,Cortes intermitentes frecuentes.
T000143,2025-10-02T03:56:35,C00959,intermitencias,en_proceso,media,,Cortes intermitentes frecuentes.
T000346,2025-10-04T23:59:09,C00365,consulta_tarifa,RESUELTO,baja,69.1,  Consulta sobre tarifas.  
T000407,2025-10-11T02:52:20,C00272,facturacion,en_proceso,critica,,Cargo no reconocido en factura.
T000334,2025-10-12T19:10:45,C00496,portabilidad,cerrado,media,-20.9,Solicita portabilidad.
T000303,2025-10-25T05:28:22,C00190,Facturacion,cerrado,baja,22.7,  Cargo no reconocido en factura.  
T000217,2025-10-30T03:09:45,C00037,sin_servicio,escalado,alta,88.8,Sin conexión desde hace horas.
T000095,2025-10-19T23:44:06,C00262,Velocidad_baja,en_proceso,baja,,Velocidad inferior a la contratada.
T000013,2025-10-20T00:08:09,C00308,INTERMITENCIAS,cerrado,baja,95.5,Cortes intermitentes frecuentes.
